Latitude,Longitude,Deployment_Date,Deployment_ZIP_Code,Carrier,Holding_Company,Technology,Download_Upload_Speed_Tier
39.68977355957031,-76.0147476196289,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69656753540039,-76.05154418945312,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.72062301635742,-75.98013305664062,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.675968170166016,-76.11988067626953,2023-06-15,21917,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.66301727294922,-75.97389221191406,2023-06-15,21901,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.705936431884766,-76.0289535522461,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.7000617980957,-76.07556915283203,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.65987777709961,-75.95257568359375,2023-06-15,21901,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.70254135131836,-76.14278411865234,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.70076370239258,-76.0438003540039,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69915771484375,-76.04969787597656,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.673980712890625,-76.06468963623047,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.67769241333008,-75.96617126464844,2023-06-15,21901,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.674415588378906,-76.0710678100586,2023-06-15,21917,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.698028564453125,-76.05276489257812,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.71822738647461,-75.9563217163086,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.65530776977539,-76.09664916992188,2023-06-15,21917,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.692840576171875,-76.05425262451172,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.71271896362305,-76.14894104003906,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.700801849365234,-75.98836517333984,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69611740112305,-75.99020385742188,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.673095703125,-76.06565856933594,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.698238372802734,-76.06324768066406,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.64468765258789,-76.04563903808594,2023-06-15,21904,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69941329956055,-76.06410217285156,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69981002807617,-76.04780578613281,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.666404724121094,-76.126708984375,2023-06-15,21918,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.68710708618164,-75.96173858642578,2023-06-15,21901,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69111633300781,-75.97550964355469,2023-06-15,21901,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.658756256103516,-76.12001037597656,2023-06-15,21918,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69036102294922,-76.04360961914062,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.69737243652344,-76.06832122802734,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.63996887207031,-76.0638427734375,2023-06-15,21904,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.701717376708984,-76.14514923095703,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.66047668457031,-76.12614440917969,2023-06-15,21918,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.719268798828125,-76.07142639160156,2023-06-15,21911,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.669612884521484,-76.11397552490234,2023-06-15,21918,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
39.646766662597656,-76.11034393310547,2023-06-15,21917,ARMSTRONG TEL OF MD,"ARMSTRONG HOLDINGS, INC.",Fiber,1 Gbps/500 Mbps
